EasyCap,Mobita,Fp1_E,FP2_E,F7_E,F3_E,Fz_E,F4_E,F8_E,FC5_E,FC1_E,FC2_E,FC6_E,T7_E,C3_E,Cz_E,C4_E,T8_E,CP5_E,CP1_E,CP2_E,CP6_E,P7_E,P3_E,Pz_E,P4_E,P8_E,POz_E,O1_E,O2_E,Fp1_M,FP2_M,F7_M,F3_M,Fz_M,F4_M,F8_M,FC5_M,FC1_M,FC2_M,FC6_M,T7_M,C3_M,Cz_M,C4_M,T8_M,CP5_M,CP1_M,CP2_M,CP6_M,P7_M,P3_M,Pz_M,P4_M,P8_M,POz_M,O1_M,O2_M
2,pilot01,2.727336,1.801483,1.553167,0.900367,2.625067,1.618058,4.893718,2.553849,1.531663,3.420889,0.931732,2.321388,0.952627,2.19237,8.595219,3.021133,1.219932,3.454398,1.886243,2.589091,2.193478,1.763593,2.736005,1.838789,2.527645,1.005747,1.631,3.976656,2.095055,4.360084,0.623917,0.636532,0.534833,0.159953,0.378375,0.421956,0.153327,0.485804,1.383879,0.405584,1.248114,0.195363,2.362118,0.242306,0.655897,0.25653,0.371138,1.194321,0.135896,0.536252,0.163663,0.172088,0.582696,1.077213,0.173832,1.932699
11,pilot05,3.330765,1.804968,0.757876,0.854874,0.86755,0.74936,2.316821,0.840686,0.365135,0.797604,0.598907,0.495919,0.188639,1.640738,0.705413,0.295764,0.684453,0.797026,0.639416,0.311874,0.296686,0.763074,1.038913,0.56253,1.492858,0.537816,1.922216,0.777656,20.164352,326.220917,4.19662,9.3221,8.861801,235.210068,10.100095,5.156829,10.492779,7.090208,99.477539,6.32054,11.468602,5.288712,3.073246,49.26223,15.359423,7.672698,10.738418,8.964522,3.745841,9.941634,7.250242,26.634972,772.17395,7.056375,11.084243,273.449829
17,pilot03,2.379969,11.354053,0.797897,4.063241,6.137196,2.905258,1.591653,2.644151,0.980203,0.621696,1.098872,0.747891,0.438163,2.478023,0.848816,1.159094,0.910734,3.416633,3.061569,0.664093,0.570729,2.277173,3.079018,0.438133,0.638183,1.327077,1.876824,1.038861,4.282924,4.885219,3.703379,10.111429,2.672409,3.044389,4.397898,3.888757,14.563305,6.437749,29.525833,4.31243,20.267288,75.440262,1.876231,4.099229,1.033177,1.931015,6.407318,3.076937,1.89348,1.225307,1.360358,2.833111,150.611053,2.011467,3.007832,1.677696
19,pilot09,2.295648,1.190758,18.263832,3.247991,4.152201,0.942744,3.221011,2.881328,0.496023,4.472606,2.576356,0.70362,0.467269,2.407773,0.848835,2.8193,2.721097,0.510931,1.813156,2.266592,1.141219,0.857978,1.464689,2.371014,1.828442,1.353834,0.977786,2.525958,9.741672,4.460812,13.369929,2.97872,0.925705,4.586414,3.847761,0.757895,0.53589,5.625512,1.407592,0.94224,1.849444,1.685717,1.090158,0.771576,1.525159,6.119551,7.085543,4.367238,49.778248,1.57227,1.180248,2.063354,2.244512,23.715458,3.423451,3.605592
20,pilot08,6.469845,6.540499,7.232407,0.760202,0.47305,0.529355,1.815538,1.264309,0.034505,2.153907,0.419983,3.259406,2.651373,3.015742,0.467626,2.59259,0.238927,0.483993,1.374841,1.407394,0.33559,0.548563,1.109686,2.2044,0.53144,0.378116,0.606552,0.483752,7.487016,8.137714,1.02459,0.626689,0.188611,0.118854,1.089673,0.077296,0.1572,0.837807,0.111112,1.065723,0.111948,1.074107,0.206357,0.170683,1.23925,0.09533,0.422451,0.176596,0.520032,0.244867,0.091595,0.145223,0.321051,0.149178,0.73961,0.115176
21,pilot04,0.544674,1.65303,3.386158,0.606821,0.120502,1.05688,0.349333,0.264911,1.146224,1.355827,3.829413,0.255745,0.622807,0.136635,0.282064,0.630573,0.083115,0.188303,0.086972,0.149805,0.239111,0.201404,0.485266,0.554915,1.748084,1.382884,0.534229,0.543719,15.564944,8.205946,23.219425,35.526657,40.140648,26.313587,10.000136,4.115026,69.608612,20.064087,1.282667,7.42694,3.412657,6.991176,4.141786,11.970372,5.933,14.985806,15.687986,6.661009,3.608087,11.41506,7.963903,15.685589,7.270286,7.119239,6.227113,12.080291
24,pilot07,8.789515,0.695189,0.288986,1.097311,0.45148,0.298193,0.927016,0.898485,1.37467,2.889982,1.278189,0.793214,0.246867,0.258047,0.829547,0.68717,1.681167,1.895502,2.444951,1.205871,2.280904,0.082903,2.038531,0.868349,0.782354,0.882924,2.370721,1.444841,8.215221,8.433303,19.317472,16.311581,8.628109,179.608978,105.433029,29.906025,54.189835,21.104979,1411.6427,7.676557,11.787784,7.017972,6.487272,5.483424,45.654095,251.311966,11.154752,5.77859,42.215645,43.677307,29.704769,23.528814,393.236877,15.181713,139.30423,948.363403
25,pilot06,4.37471,1.109908,0.389294,1.115196,2.218095,0.454643,1.652582,1.832364,0.187981,0.421399,0.622256,3.326487,1.544729,0.607792,0.664456,1.915658,0.726246,1.557233,0.43991,0.762209,0.760237,1.216241,0.346176,0.210999,1.126044,1.308025,1.255971,1.260809,2.676724,3.372422,0.645461,0.964535,1.114761,0.893779,0.767945,0.716836,0.964244,4.519199,2.63896,1.975106,3.361513,1.86801,0.809626,4.173529,13.222404,0.711838,0.917669,0.843017,1.602876,0.694352,1.82808,0.418001,0.269047,0.329235,0.504315,0.444959
32,pilot10,5.563617,5.356852,1.285456,0.844496,3.657746,1.710791,0.481954,0.514432,3.812666,0.323002,0.546419,0.891477,1.63068,0.469004,2.327665,0.218182,2.566124,6.849585,0.494824,1.552429,0.996603,0.281891,2.249089,0.31968,0.58185,2.284118,8.100271,0.309167,10.243861,18.369629,20.789669,72.076607,8.181199,8.837669,10.919063,24.277786,288.625153,12.392102,8.982659,70.300934,16.935291,7.695457,4.991198,7.529401,23.203991,3.460407,7.256979,1343.758179,28.314844,22.362417,8.510405,6.915244,8.768214,12.930163,10.04925,12.952025
43,pilot02,0.787294,2.177377,0.230436,0.187094,0.376505,0.571547,0.35827,1.142763,0.785087,7.820836,1.480537,5.671286,1.57248,0.512969,1.245619,1.447103,0.363114,3.463563,0.544316,1.760049,2.487164,1.059445,0.554628,2.391455,0.933642,3.708512,1.125445,1.105028,1.933467,7.332653,3.474813,2.893462,0.253188,0.936922,7.414377,1.588851,0.176078,2.282384,3.405927,1.191492,0.518795,2.215497,0.80383,1.06684,0.135229,0.187417,0.509361,0.444284,0.798907,2.089407,0.358565,0.568013,9.752636,0.593007,0.975298,0.05417
