EasyCap,Mobita,Time_E,Amp_E,Time_M,Amp_M
2,pilot01,41.01563,2.135886,5.85938,-4.781607
11,pilot05,31.25,-3.256917,7.8125,-4.537883
17,pilot03,25.39063,-9.868149,3.90625,-14.238813
20,pilot08,70.3125,-15.095384,11.71875,-5.267922
21,pilot04,41.01563,-3.95719,41.01563,-2.853094
24,pilot07,46.875,-1.883931,-19.53125,1.045614
25,pilot06,60.54688,-1.903874,-25.39063,-8.635457
32,pilot10,33.20313,-4.912127,13.67188,-4.557438
43,pilot02,15.625,-10.436995,-17.57813,-4.290725
