EasyCap,Mobita,Fp1_E,FP2_E,F7_E,F3_E,Fz_E,F4_E,F8_E,FC5_E,FC1_E,FC2_E,FC6_E,T7_E,C3_E,Cz_E,C4_E,T8_E,CP5_E,CP1_E,CP2_E,CP6_E,P7_E,P3_E,Pz_E,P4_E,P8_E,POz_E,O1_E,O2_E,Fp1_M,FP2_M,F7_M,F3_M,Fz_M,F4_M,F8_M,FC5_M,FC1_M,FC2_M,FC6_M,T7_M,C3_M,Cz_M,C4_M,T8_M,CP5_M,CP1_M,CP2_M,CP6_M,P7_M,P3_M,Pz_M,P4_M,P8_M,POz_M,O1_M,O2_M
2,pilot01,1037.268555,330.712189,131.994675,67.124466,267.755096,464.190491,1797.512451,586.989258,351.170654,442.537689,247.485519,163.006683,38.685368,305.215424,2809.841553,1151.792358,162.249252,627.961853,146.540024,542.60675,561.328735,353.409912,304.664612,437.215393,133.34996,209.789139,277.647644,856.338318,458.296936,404.488953,95.157021,89.334595,27.548996,36.299118,79.472069,44.77779,9.770849,21.918093,62.224998,43.131294,16.774391,22.390265,432.259583,28.307463,26.74498,24.953241,23.809076,54.030216,66.318642,135.258652,58.054291,66.747276,107.597847,151.985992,62.889652,860.133118
11,pilot05,869.724243,300.073456,154.02829,85.546051,234.61908,144.682098,878.889771,274.121124,25.10774,288.474396,118.446762,155.458603,54.259045,588.203857,223.664734,26.495779,64.931602,260.661865,120.469429,24.26368,34.285938,246.323547,447.702118,84.642609,356.593414,67.200256,408.124756,340.819244,947.30719,5718.976074,274.137726,478.707336,296.65033,1412.631958,1523.125488,305.411011,517.858948,527.52832,3026.881836,247.842056,263.838959,211.54509,228.438293,4596.168457,377.025452,216.90062,233.933807,612.328308,195.220474,264.673737,421.694183,1280.285645,92451.39063,458.377869,833.462463,19765.00195
17,pilot03,546.053711,2038.9729,117.378738,132.997101,362.265961,876.36615,415.297394,765.004639,191.717834,165.100021,431.464935,298.797821,16.696598,438.244232,132.625961,398.189972,110.251045,137.773071,916.011108,164.65274,106.932388,106.38868,389.626282,138.058578,70.442757,56.725178,400.623627,139.0793,542.066833,661.657166,178.321899,236.127136,158.455933,123.238991,182.529144,116.815331,297.261505,124.770027,285.117981,111.026604,629.124817,1787.549805,217.582352,123.310417,103.159584,87.178207,74.562004,90.721153,154.256119,104.784332,115.420387,162.250458,10088.85254,608.412415,170.540512,475.457428
19,pilot09,787.962585,351.125397,6255.534668,200.634216,1152.845215,44.883396,82.636536,80.411804,126.070549,750.202148,133.929291,78.738655,23.354599,237.590195,24.424906,218.292755,235.808746,195.433136,186.16655,373.983704,207.228531,79.143623,65.356613,213.290375,61.319729,49.20644,41.6796,108.417313,623.125671,761.13269,743.820251,547.855469,347.403961,509.27066,694.16449,196.374039,138.125488,739.937378,394.160065,315.080811,517.924744,367.429321,180.09729,305.993378,648.486755,1114.374756,1029.046997,263.565033,7720.84668,277.953461,271.06189,415.110992,159.04985,837.877991,142.049194,139.522339
20,pilot08,2835.804443,3065.229736,2719.939209,80.076439,220.776138,143.936447,651.745239,603.288696,4.277046,588.20166,127.234398,1046.816772,1093.085938,1104.045288,209.993286,939.70282,54.654633,138.780899,511.57663,246.582947,161.948608,51.036591,537.264587,769.013184,122.991226,111.034134,210.535294,153.065063,2466.769043,2618.649658,102.083328,100.35157,43.636497,81.242447,745.774902,38.494068,63.025402,32.685917,50.769314,5400.008789,29.837221,259.68219,51.662724,215.239319,423.358673,42.954445,62.179966,114.860123,273.567902,69.852966,45.403149,83.491302,186.402328,59.599289,124.578392,136.398468
21,pilot04,222.249344,1027.381348,724.193665,305.354706,28.699038,620.166199,137.300369,33.207027,494.835907,783.952759,1068.071411,111.184258,290.296997,85.250198,28.399055,313.000061,27.01276,78.512047,30.604465,62.517639,42.494465,97.667336,160.842056,293.094025,853.953613,714.859863,323.667175,194.450211,2696.392578,2115.203613,9476.543945,13408.61914,13083.35254,9517.547852,3441.418213,1495.846191,26526.64258,8035.852539,886.078918,3221.050537,1369.484497,1945.395142,1527.356934,4233.450195,2498.921143,5542.270508,5218.27002,3228.79248,1924.529419,4107.399414,3394.937256,4390.11084,2971.401123,2867.160156,2917.95166,5172.095215
24,pilot07,3954.414307,125.4011,82.348534,622.987244,178.494324,89.97123,247.501297,342.99826,432.44281,1644.046265,632.241699,94.883369,208.563828,49.216763,554.267151,230.452286,347.722656,753.953918,1659.673096,703.295959,129.574768,10.019141,989.748291,402.459229,171.643021,176.718475,936.022583,800.089417,1036.120117,936.559082,851.233521,853.339478,723.688354,3188.904297,1486.960693,1455.167603,1121.610229,2798.307373,124716.4141,684.573914,483.462708,496.028503,482.344269,501.110565,2417.752441,18937.67188,852.466858,391.420197,2904.957031,4650.26416,2622.713867,3975.706543,20134.28516,1783.800659,8612.344727,42983.60156
25,pilot06,1556.718262,274.587433,90.212746,37.673752,153.991776,86.536652,198.734192,133.711395,9.097941,84.919205,118.152428,552.101501,88.783836,197.704651,163.564209,188.489838,67.439743,30.770895,250.68541,173.249329,100.289223,20.192936,10.017998,12.438726,300.611694,74.900444,60.675739,229.237213,971.204468,998.513184,90.070862,270.700348,48.648663,74.967651,213.979599,168.715759,125.639542,180.123627,27.43429,105.645416,304.265381,217.632645,121.272858,278.75531,163.197495,28.681484,44.377537,81.698891,184.337524,117.560532,76.331421,137.313095,77.125565,67.826157,85.303276,92.477463
32,pilot10,1075.614624,653.365112,218.481705,230.015717,491.481232,299.180725,120.053055,113.703873,168.601318,165.87175,105.104439,123.264793,173.39444,86.680878,120.901894,28.265877,852.286865,130.678055,219.287552,172.941818,203.947495,15.318838,117.94059,33.560284,140.440659,139.140457,678.060608,142.923889,336.496918,797.895081,559.256348,1061.384888,246.885376,261.833344,533.011719,387.043671,6575.788086,419.212952,159.921997,763.241028,335.028412,152.350861,85.81723,272.930206,236.338943,108.979141,141.628632,6394.65918,246.594131,562.552612,177.029251,101.721077,588.990662,247.729248,140.597031,870.413513
43,pilot02,276.533844,812.684509,69.022957,34.66555,95.096382,71.52755,30.378893,56.654873,229.585129,2974.422607,401.02533,2030.407837,260.302887,61.575138,241.222839,454.752533,109.344093,884.796509,213.130417,464.688416,874.412109,168.922379,180.600815,671.922913,257.246277,982.455566,28.567606,365.574158,196.594467,177.698227,41.555725,10.377201,16.552362,50.627575,170.355896,42.361858,16.85535,8.944639,24.709698,72.532135,13.433632,17.599152,18.612041,53.32534,31.162786,16.742592,38.097923,90.574074,34.894764,19.621311,200.989456,43.00613,48.444557,22.806519,68.37867,19.048428
